session,trial,person_001,person_002,person_003,person_004,person_005,person_006,person_007,person_008,person_009,person_010,person_011,person_012,person_013,person_014,person_015,person_016,person_017,person_018,person_019
002,8,0.5555555555555556,0.4861111111111111,0.5694444444444444,0.6944444444444444,0.5833333333333334,0.7083333333333334,0.5,0.625,0.6666666666666666,0.5833333333333334,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7361111111111112,0.6944444444444444,0.75,0.7361111111111112
002,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5694444444444444,0.7638888888888888,0.7361111111111112,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7361111111111112,0.625,0.7222222222222222,0.7638888888888888,0.75,0.75,0.7083333333333334,0.7361111111111112,0.8055555555555556
002,10,0.5555555555555556,0.6944444444444444,0.5972222222222222,0.5277777777777778,0.7638888888888888,0.6944444444444444,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.7638888888888888,0.6805555555555556,0.7361111111111112,0.7222222222222222,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.75,0.7638888888888888,0.6666666666666666
002,mean,0.5111111111111111,0.5819444444444445,0.5638888888888889,0.6152777777777778,0.6361111111111111,0.6708333333333334,0.6458333333333333,0.6444444444444445,0.6847222222222221,0.6875,0.6833333333333332,0.7125,0.7305555555555555,0.7333333333333335,0.7597222222222222,0.7736111111111111,0.7513888888888889,0.7583333333333334,0.7597222222222222
002,std_dev,0.054433105395181765,0.09510593508761106,0.06695539329552194,0.09583333333333331,0.1014554575986093,0.08264764192673243,0.09322124552527684,0.09175080313840968,0.06862010737242011,0.09627514903124093,0.0799787780493776,0.06118997436641856,0.06695539329552194,0.08188557207213153,0.07137591754183108,0.05926830081486632,0.060044350892270254,0.05800170282728084,0.06023680122833734
003,1,0.5045045045045045,0.5045045045045045,0.5045045045045045,0.5045045045045045,0.8198198198198198,0.5495495495495496,0.8018018018018018,0.7747747747747747,0.7837837837837838,0.7837837837837838,0.7387387387387387,0.8828828828828829,0.7837837837837838,0.8828828828828829,0.8918918918918919,0.6936936936936937,0.6576576576576577,0.6936936936936937,0.6306306306306306
003,2,0.5045045045045045,0.5045045045045045,0.5045045045045045,0.7567567567567568,0.7747747747747747,0.8198198198198198,0.7747747747747747,0.8198198198198198,0.8288288288288288,0.8288288288288288,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7387387387387387,0.8108108108108109,0.8828828828828829,0.8378378378378378
003,3,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.6306306306306306,0.5585585585585585,0.5225225225225225,0.7837837837837838,0.7837837837837838,0.7207207207207207,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
003,4,0.5045045045045045,0.5045045045045045,0.5855855855855856,0.7207207207207207,0.6216216216216216,0.7837837837837838,0.6216216216216216,0.8288288288288288,0.8648648648648649,0.9099099099099099,0.8828828828828829,0.8918918918918919,0.7567567567567568,0.8018018018018018,0.8558558558558559,0.8648648648648649,0.8648648648648649,0.8558558558558559,0.8738738738738738
003,5,0.4954954954954955,0.5405405405405406,0.7387387387387387,0.5135135135135135,0.7837837837837838,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8108108108108109,0.8648648648648649,0.8378378378378378,0.8558558558558559
